active_indices,spoke_counts,sdp_t,sdp_lambda_min,sdp_log_product,sdp_gap,de_failed,de_lambda_min,de_log_product,de_converged
0 1 2 3 4 5 6 8 11,"O-M:3,O-B:3,O-N:2,O-A:1",0.00986800,0.00578082,-18.539126,4.087e-03,False,0.00636125,-16.886404,False
0 1 2 3 4 5 6 7 10,"O-M:3,O-B:3,O-N:2,O-A:1",0.00301005,0.00301005,-19.007031,-1.948e-10,False,0.00300992,-18.890986,False
0 1 2 3 4 5 6 7 8,"O-M:3,O-B:3,O-N:3,O-A:0",0.00419493,0.00419494,-18.015813,-3.347e-10,False,0.00419493,-18.005020,False
0 1 2 3 4 5 6 8 10,"O-M:3,O-B:3,O-N:2,O-A:1",0.00750805,0.00479288,-19.211101,2.715e-03,False,0.00598133,-17.012972,False
0 1 2 3 4 5 6 7 11,"O-M:3,O-B:3,O-N:2,O-A:1",0.00346015,0.00179504,-22.756569,1.665e-03,False,0.00345964,-21.688987,False
0 1 2 3 4 5 6 10 11,"O-M:3,O-B:3,O-N:1,O-A:2",0.00475588,0.00050924,-24.331214,4.247e-03,False,0.00475213,-21.238549,False
0 1 2 3 4 5 6 9 10,"O-M:3,O-B:3,O-N:1,O-A:2",0.00074193,0.00074193,-19.587122,-1.727e-10,False,0.00074191,-19.632615,False
0 1 2 3 4 5 7 8 10,"O-M:3,O-B:3,O-N:2,O-A:1",0.00957131,0.00483991,-17.302683,4.731e-03,False,0.00595116,-16.177029,False
0 1 2 3 4 5 7 8 11,"O-M:3,O-B:3,O-N:2,O-A:1",0.00674594,0.00490953,-19.707435,1.836e-03,False,0.00602399,-17.540395,False
0 1 2 3 4 5 6 7 9,"O-M:3,O-B:3,O-N:2,O-A:1",0.00148066,0.00099211,-24.759232,4.885e-04,False,0.00147944,-22.875377,False
0 1 2 3 4 5 8 9 10,"O-M:3,O-B:3,O-N:1,O-A:2",0.00311259,0.00311259,-17.501539,-3.187e-10,False,0.00311225,-17.511016,False
